,open_time,open,high,low,close,volume,close_time,c1,c2,c3,c4,c5
108,1616392800000,57597.39,57887.26,57569.43,57843.32,656.798628,1616394599999,37935940.5668493,34908,356.129129,20569255.58708398,0.0
109,1616394600000,57843.32,57895.78,57630.29,57678.12,748.71689,1616396399999,43244131.96346066,30106,347.098345,20045606.53733854,0.0
110,1616396400000,57678.12,57850.0,57513.41,57817.99,809.927075,1616398199999,46737715.92342741,41377,399.072081,23032975.02546785,0.0
111,1616398200000,57817.99,57818.0,57540.0,57576.5,667.388489,1616399999999,38498803.04222741,41420,361.448446,20850163.16022724,0.0
112,1616400000000,57576.51,57703.29,57420.99,57465.5,823.169354,1616401799999,47371659.30306095,26610,368.794173,21223204.75061888,0.0
113,1616401800000,57465.5,57542.39,57095.0,57210.57,988.828818,1616403599999,56664325.29488462,32645,474.85222,27212470.29077536,0.0
114,1616403600000,57210.58,57345.16,57024.13,57296.66,963.378561,1616405399999,55076938.1486998,32896,488.327929,27920859.50776973,0.0
115,1616405400000,57296.66,57396.99,57143.75,57372.0,829.185884,1616407199999,47480211.33547005,28353,448.116013,25659027.51062931,0.0
116,1616407200000,57372.01,58430.73,57282.0,58107.73,2277.663651,1616408999999,132103458.02437158,60167,1278.25466,74121357.29837716,0.0
117,1616409000000,58107.72,58233.71,57888.88,57908.82,1066.18515,1616410799999,61911875.84335644,32684,486.096956,28230806.82804821,0.0
118,1616410800000,57908.82,58160.55,57555.55,57706.93,949.409924,1616412599999,54998661.80179923,43408,477.46066,27660692.75975014,0.0
119,1616412600000,57706.93,57858.59,57616.65,57713.79,669.273379,1616414399999,38651144.23957154,35988,309.931427,17898548.16867089,0.0
120,1616414400000,57713.79,57761.0,57253.39,57268.45,1326.731654,1616416199999,76273081.9404595,38809,532.691358,30628318.30700098,0.0
121,1616416200000,57268.44,57498.8,56857.96,57259.48,1525.728578,1616417999999,87229541.77625965,46707,716.512627,40978350.46378207,0.0
122,1616418000000,57267.75,57414.0,57058.8,57183.08,1932.191007,1616419799999,110553633.6517987,42107,1242.218699,71066394.43974581,0.0
123,1616419800000,57183.07,57261.72,56521.01,56969.98,2040.861107,1616421599999,116024954.28375842,55342,984.712363,55971954.91247459,0.0
124,1616421600000,56969.98,57279.26,56778.52,56930.13,1392.502141,1616423399999,79435682.07868432,38838,627.802515,35818009.67213743,0.0
125,1616423400000,56930.13,57204.0,56791.34,56990.02,974.978216,1616425199999,55625059.02686115,31743,483.044313,27563201.11339937,0.0
126,1616425200000,56990.02,57142.88,56866.38,57127.29,946.346006,1616426999999,53950406.59706599,41139,430.705716,24554213.69241532,0.0
127,1616427000000,57131.75,57229.71,56905.14,57083.0,818.832467,1616428799999,46780456.8536347,39135,352.902125,20163919.4777836,0.0
128,1616428800000,57082.99,57195.0,56658.2,56750.01,1079.47873,1616430599999,61451363.44293618,58076,472.831316,26922368.22501969,0.0
129,1616430600000,56750.0,56839.71,56191.19,56753.6,2107.405062,1616432399999,119045613.30486505,73281,1013.857896,57278330.33053665,0.0
130,1616432400000,56753.61,56878.27,56551.04,56850.62,861.199672,1616434199999,48839054.49615553,27837,467.765174,26526610.52194257,0.0
131,1616434200000,56850.62,57190.0,56831.5,57080.31,941.64438,1616435999999,53753183.71201631,29778,471.27988,26901135.80296669,0.0
132,1616436000000,57080.31,57175.11,56852.46,56982.33,911.578385,1616437799999,51979539.75170809,28270,460.52875,26259579.195181,0.0
133,1616437800000,56982.34,56985.66,56366.0,56494.11,1441.367666,1616439599999,81555392.07787684,37440,689.402883,39002884.7590052,0.0
134,1616439600000,56492.91,56561.6,55610.03,55844.73,2472.905063,1616441399999,138419100.51927727,66138,1111.782268,62235203.36381494,0.0
135,1616441400000,55844.72,56128.76,55508.0,55524.99,1414.44881,1616443199999,78998155.70140396,41769,645.553763,36071359.15699643,0.0
136,1616443200000,55524.99,56000.0,55347.48,55850.0,1903.175404,1616444999999,106054832.35184743,48417,918.045074,51194735.84537943,0.0
137,1616445000000,55850.0,55860.0,54179.99,54507.62,4907.397157,1616446799999,268928126.9299434,126300,2250.98327,123327061.75477408,0.0
138,1616446800000,54504.94,54956.33,54200.0,54470.67,1784.615224,1616448599999,97587488.18419145,70496,880.887526,48194539.58249819,0.0
139,1616448600000,54470.73,54896.63,54397.87,54566.77,1392.914023,1616450399999,76132829.11066334,51837,724.876467,39626417.85608117,0.0
140,1616450400000,54566.77,54658.87,53650.0,54243.6,3419.673138,1616452199999,185171847.17124847,79602,1527.825038,82755464.54959859,0.0
141,1616452200000,54243.6,54615.22,54135.86,54614.23,2062.967453,1616453999999,112246824.65110609,33309,1199.909085,65306216.13389086,0.0
142,1616454000000,54614.99,54871.14,54292.65,54475.24,1971.285903,1616455799999,107709729.27857415,38038,1175.343329,64231802.84654873,0.0
143,1616455800000,54475.24,54643.66,54060.0,54083.25,1222.369119,1616457599999,66480624.07556345,29773,563.7552,30657869.18686497,0.0
144,1616457600000,54083.25,54760.0,53777.68,54585.53,2078.654341,1616459399999,112975239.48030367,48924,910.197458,49482253.85573895,0.0
145,1616459400000,54585.53,54749.99,54424.24,54697.73,1032.728641,1616461199999,56384082.00775733,28057,539.711629,29473818.89054603,0.0
